,basicName,subTitleName,rating,openDate,openTime,address,price,label,review,url,img,monOpen,monClose,tuesOpen,tuesClose,wedOpen,wedClose,thursOpen,thursClose,friOpen,friClose,satOpen,satClose,sunOpen,sunClose,recommend,monTime,tuesTime,wedTime,thursTime,friTime,satTime,sunTime,latitude,longitude,currentDay,currentTime
114,Dr. Sun Yat-Sen Memorial House,臺北市國父史蹟館(逸仙公園),4.5,['Open daily'],['8:00-17:00'],"No. 46, Section 1, Zhongshan N Rd, Zhongzheng District, Taipei City, Taiwan 100",0.0,觀光,"Yixian Park preserves a Japanese-era wooden structure building, the front lawn is planted with plum trees, and the white plums are in full bloom when the cold season is in full bloom, which makes the whole park more beautiful.",https://www.trip.com/travel-guide/attraction/taipei/dr-sun-yat-sen-memorial-house-22846529?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10010y000000m0lfy4A3E_C_180_240_Q70.webp?proc=source%2ftrip,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,1.5,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,25.0478,121.5200371,mon,9.5
687,Danan Park,大湳公園,5.0,['Open daily'],['Open all day'],"No. 3, Lane 185, Fuguo North Street, Taoyuan 330, Taiwan",0.0,觀光,another fun place to visit. highly recommended!,https://www.trip.com/travel-guide/attraction/taoyuan/danan-park-58372114?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3d12000949qimq0498_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,24.9624383,121.2956181,mon,11.5
30,Huashan 1914 Creative Park,華山1914文創園區,4.7,['Open daily'],['Open all day'],"No. 1, Section 1, Baba Road, Taipei",0.0,活動,"Recommend for kids! Great location, great staffs... enjoy the play & park nearby.... toilets are not many.",https://www.trip.com/travel-guide/attraction/taipei/huashan-1914-creative-park-10520725?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102t120009f3yju4BF0F_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,25.0329694,121.5654177,mon,13.5
18,The Red House,西門紅樓,4.5,"['Tuesday-Thursday', 'Friday,Sunday', 'Saturday']","['11:00-20:00', '11:00-21:00', '11:00-22:00']","No. 10, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",0.0,觀光,Ximen red house is a historical landmark in the bustling district of ximending. Good visit,https://www.trip.com/travel-guide/attraction/taipei/the-red-house-10524144?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106j120008kejm6o4C55_C_180_240_Q70.webp?proc=source%2ftrip,0.0,0.0,660.0,1200.0,660.0,1200.0,660.0,1200.0,660.0,1260.0,660.0,1320.0,660.0,1260.0,2.0,0,11:00-20:00,11:00-20:00,11:00-20:00,11:00-21:00,11:00-22:00,11:00-21:00,25.04214,121.5072876,mon,15.0
16,Ningxia Night Market,寧夏夜市,4.5,['Open daily'],['17:00-23:30'],"103, Taiwan, Taipei City, Datong District, Ningxia Rd, Ningxia Night Market",0.0,餐飲,"A local night market with various kind of delicious food, it is always crowded with people",https://www.trip.com/travel-guide/attraction/taipei/ningxia-night-market-10539668?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo0212000c6bl1f2E174_C_180_240_Q70.webp?proc=source%2ftrip,1020.0,1410.0,1020.0,1410.0,1020.0,1410.0,1020.0,1410.0,1020.0,1410.0,1020.0,1410.0,1020.0,1410.0,2.0,17:00-23:30,17:00-23:30,17:00-23:30,17:00-23:30,17:00-23:30,17:00-23:30,17:00-23:30,25.0566808,121.5153641,mon,16.5
215,"Pingsi Line, Pingxi District",226台灣新北市平溪區平溪線,4.9,,,"Pingxi District, New Taipei City, Taiwan 226",0.0,餐飲,(Business hours are inaccurate) Pingxi Line is a very famous train line. This line involves many beautiful attractions. Most of them are based on the town. It is somewhat Japanese style. You can experience the very comfortable and hospitable side of Taiwan.,https://www.trip.com/travel-guide/attraction/new-taipei-city/pingsi-line-pingxi-district-56808798?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100f1800000152o1h79E0_C_180_240_Q70.webp?proc=source%2ftrip,558.6950728453937,1274.7733629806564,558.6934306386496,1274.7717347900002,558.6890527317762,1274.7683306143683,558.6914324076824,1274.7700721872868,558.706360431887,1274.7833061997592,551.9318593295159,1270.0039868768745,551.9318618139989,1267.6934179787993,2.5,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,25.0345984,121.7537404,mon,19.0
207,Jilong Mountain Hiking Trail,雞籠山登山步道,4.2,['Open daily'],['Open all day'],"Near Jiufen Old Street, Xinbei",0.0,活動,"A mountain trail with a particularly good scenery. Although the trail is relatively old, it is quite convenient to walk, and the scenery is very good all the way. There are many temples and other monuments. Going up a little, you can see the beautiful sea view.",https://www.trip.com/travel-guide/attraction/keelung/jilong-mountain-hiking-trail-23034375?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3n1200094786z0F068_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,10.0,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,25.1098695,121.8451827,tues,9.5
32,Songshan Cultural and Creative Park,松山文創園區,4.6,['Open daily'],['8:00-22:00'],"No. 133, Guangfu S Rd, Xinyi District, Taipei City, Taiwan 110",0.0,活動,"Songshan Cultural and Creative Park - located in Xinyi District, Taipei, built in 1937, formerly known as the ""Taiwan Governor's Mansion Monopoly Bureau Songshan Tobacco Workshop"" during the Japanese rule period, officially transformed into the ""Songshan Cultural and Creative Park"" in 2010.",https://www.trip.com/travel-guide/attraction/taipei/songshan-cultural-and-creative-park-10523535?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10071f000001h6zk780D1_C_180_240_Q70.webp?proc=source%2ftrip,480.0,1320.0,480.0,1320.0,480.0,1320.0,480.0,1320.0,480.0,1320.0,480.0,1320.0,480.0,1320.0,2.5,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,25.0439522,121.5605926,tues,13.5
246,Lehua Night Market,樂華夜市,4.7,['Open daily'],['16:00-12:00'],"Yongping Rd, Yonghe District, New Taipei City, Taiwan 234",0.0,活動,"Super popular Shufei Health Meal near Lehua Night Market, the main low-card oil-free 100 yuan lunch box, 10 kinds of side dishes super , super popular peeled chili chicken legs 140 yuan, salted mayonnaise chicken breast 125 yuan, delicious and healthy and ecstatic.",https://www.trip.com/travel-guide/attraction/new-taipei-city/lehua-night-market-71528521?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105q120009v3bnuzA0E5_C_180_240_Q70.webp?proc=source%2ftrip,960.0,2160.0,960.0,2160.0,960.0,2160.0,960.0,2160.0,960.0,2160.0,960.0,2160.0,960.0,2160.0,1.5,16:00-36:00,16:00-36:00,16:00-36:00,16:00-36:00,16:00-36:00,16:00-36:00,16:00-36:00,25.0104549,121.5091544,tues,16.5
485,Tianmu Historic Trail,天母古道親山步道,4.7,['Open daily'],['Open all day'],"Section 7, Zhongshan N Rd, Shilin District, Taipei City, Taiwan 111",0.0,活動,"Cuishan Trail - Located in Shuangxi Community, Shilin District, it is a new trail by the Land Agency. It was originally a abandoned police target range in Shilin District. It is re-breeded with greenery and pleasant ecological scenery. The path is picked up from the mountainside of Dalunwei Mountain and can be connected to the Bixi Trail, which is connected to the natural forest fields such as Dalun Touwei Mountain, the Nai Shuangxi Forest Nature Center and Bishan Camping Field.",https://www.trip.com/travel-guide/attraction/taipei/tianmu-historic-trail-22846560?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww0s12000cjicvv4E7F5_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,25.1228791,121.5320131,tues,18.5
