basicName,subTitleName,rating,price,label,monOpen,monClose,tuesOpen,tuesClose,wedOpen,wedClose,thursOpen,thursClose,friOpen,friClose,satOpen,satClose,sunOpen,sunClose,recommend,latitude,longitude,currentDay,currentTime
Wenchang Temple,台北市文昌宮,4.4,0.0,觀光,420.0,1260.0,420.0,1260.0,420.0,1260.0,420.0,1260.0,420.0,1260.0,420.0,1260.0,420.0,1260.0,0.5,25.0591875,121.5210132,mon,8.5
Liberty Square,自由廣場,4.6,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,25.0369599,121.5194421,mon,9.5
Zhongzheng Park,中正公園,4.5,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,25.1337822,121.7536078,mon,10.5
Badouzi Seaside Park,八斗子海濱公園,4.6,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,25.1430274,121.7888768,mon,11.5
Baoqing Park,寶清公園,4.3,0.0,活動,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.5,25.0552958,121.5541264,mon,12.0
Lady Zhou's Memorial Gate,周氏節孝坊,4.6,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,25.0322029,121.4463024,mon,13.0
Zhengbin Port Color Houses,正濱漁港-彩色街屋,4.9,0.0,活動,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,25.1525037,121.7688586,mon,14.0
Wenwu Shengmiao,武聖廟,4.8,0.0,活動,534.1010859271976,1300.0556976261005,538.3513408209285,1298.4974016822823,539.2192205768524,1297.776360248162,536.817195311266,1296.3654177137398,539.2291089758417,1298.377959322926,530.2069599500849,1300.5106974457035,523.7756895112982,1294.9945908546645,1.0,25.0336244,121.4502117,mon,15.0
Dahu Memorial Park,大湖紀念公園,5.0,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0,25.0571641,121.358715,mon,17.0
Dagouxi Waterfront Park,大溝溪生態治水園區,4.7,0.0,觀光,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0,25.0862769,121.6050556,mon,19.0
