basicName,subTitleName,rating,openDate,openTime,address,price,label,review,url,img,monOpen,monClose,tuesOpen,tuesClose,wedOpen,wedClose,thursOpen,thursClose,friOpen,friClose,satOpen,satClose,sunOpen,sunClose,recommend
KidsAwesome Museum,KidsAwesome奧森兒童博物館, 5,"['Monday-Tuesday,Thursday-Sunday']",['10:00-13:00;14:00-17:00'],"No. 153號, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106",0.0,,"The place is very good. 0 seconds to kill Shanghai Lilibao. All the fun is learning. It is not simple to play. This point, the American design is still good. There are many details and it is also very intimate.",https://www.trip.com/travel-guide/attraction/taipei/kidsawesome-museum-58374553?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww141200094abaet13F3_C_180_240_Q70.webp?proc=source%2ftrip,600.0,1020.0,600.0,1020.0,0.0,0.0,600.0,1020.0,600.0,1020.0,600.0,1020.0,600.0,1020.0,2.5
NTNU Art Museum,師大美術館, 4.8,,,"No. 21-1, Lane 33, Lishui Street, Da’an District, Taipei City, Taiwan 106",0.0,,"(Business hours are inaccurate) The Art Gallery of Normal University - by the young architect Chen Shengzhong, and the teachers of the Art Academy of Normal University, completed together, the architectural appearance integrates the avant-garde titanium plate architecture of Aerospace Technology, composed of 192 completely different triangles, reflecting the changing era. The gray and stable main tone, showing ""the startling glance of Taipei Lane"", especially after the completion of the whole, from different time, angle position have different light and shadow and feel geometric style.",https://www.trip.com/travel-guide/attraction/taipei/ntnu-art-museum-90840199?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105w2233zwx1zdsyB5E1_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,1.5
Butterfly & Insect Museum,蝴蝶宮昆蟲科學博物館(Only By Appointment ), 4.6,['Monday-Saturday'],['10:00-16:00'],"No. 71, Section 1, Jinan Road, Taipei",0.0,,"A small museum in Success High School is very suitable for bringing children over. No tickets are required. It is very good. There are not many people to visit, but it is not easy to do this level of museums.",https://www.trip.com/travel-guide/attraction/taipei/butterfly-and-insect-museum-24341991?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100o120009ao308i2B69_C_180_240_Q70.webp?proc=source%2ftrip,600.0,960.0,600.0,960.0,600.0,960.0,600.0,960.0,600.0,960.0,600.0,960.0,0.0,0.0,2.5
Bangka Old Street,艋舺老街, 4.5,['Open daily'],['Open all day'],"Section 2, Guiyang St., Taipei 108, Taiwan",0.0,,There are still a lot of people in the old street during the day or at night. The surrounding area is an old building complex. It is also very historical. I like the feeling of people here. It is very humane. The bosses of the shops here are enthusiastic.,https://www.trip.com/travel-guide/attraction/taipei/bangka-old-street-24651673?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100h0q000000go31xEEE3_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.5
tai bei fa zhu gong miao,台北法主公廟,,['Open daily'],['06:30-20:00'],103台灣省台北市大同區南京西路344巷2號,0.0,,Taipei Fazhugong Temple is located in the prosperous Taipei area. It is a famous 5-story temple in Dadaocheng. The high space on the first floor can allow vehicles to pass and there is an elevator. It is worth visiting this special temple building.,https://www.trip.com/travel-guide/attraction/taipei/city-90916567?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101a120008e75gxn3D47_C_180_240_Q70.webp?proc=source%2ftrip,390.0,1200.0,390.0,1200.0,390.0,1200.0,390.0,1200.0,390.0,1200.0,390.0,1200.0,390.0,1200.0,
Sanhe Night Market,三和夜市, 5,,,新北市三重區中央北路,0.0,,"(Business hours are inaccurate) There is a favorable crispy pig near Taipei Sanzhong National Station, not far from the intersection of Sanhe Night Market. The boss fried pork is soft in the outer and inner. The business is not bad at night. It opened in 2022/7 last year. In fact, Sanhe Night Market is a very affordable night market in Taipei, and clothes are also cheaper. The price is relatively cheap compared to Raohe Night Market and Tonghua Night Market. There are also delicious pepper shrimps at the alley, half a catty of 250, a catty of 450. Everyone has the opportunity to go to Sanhe Night Market and find affordable food.",https://www.trip.com/travel-guide/attraction/new-taipei-city/sanhe-night-market-130369318?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh6x2215fyy8csa96140_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Crescent Bridge,新月橋, 4.8,['Open daily'],['Open all day'],"Huanhe Road, Banqiao District, Banqiao, New Taipei 22058 Taiwan",0.0,,"Walking on the river bank in the evening - Today is the artificial wet area of Dahanxi Crescent Bridge and Xinhai. Under the printing of the sunset, the water hibiscus has a unique flavor. part 2",https://www.trip.com/travel-guide/attraction/new-taipei-city/crescent-bridge-23034946?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0w000000k65592B5F_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0
Wangyougu,望幽谷, 4.8,['Open daily'],['Open all day'],"No. 61, Lane 369, Beining Road, Zhongzheng District, Keelung City",0.0,,"Mango grass is opening, with the blue sky and green grass is beautiful, the weather is fine, and it takes about an hour to walk slowly. The perfect plan is to go to Chaojing Park first, walk 101 highlands and then walk 80 highlands, 65 platforms to pick up the valley, and finally take the Badouzi fishing port to take the car, which is more smooth. If you have online tickets, you can ride eight buckets of bicycles first~",https://www.trip.com/travel-guide/attraction/keelung/wangyougu-13505943?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100u0i0000009ddfz0EDB_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0
Bali Old Street,八里渡船頭老街, 4.8,['Open daily'],['Open all day'],"Duchuantou St, Bali District, New Taipei City, Taiwan 249",0.0,,"The first nine days of the public life, Taipei rarely saw sunny weather, walking on the left bank of the ferry, unexpectedly encountered the entire freshwater river water evaporation, the distance is under construction of the Danjiang Bridge Bridge tower, shrouded in a mist, overlooking the scenery like a fairyland.",https://www.trip.com/travel-guide/attraction/new-taipei-city/bali-old-street-39040238?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105j12000987i8dd0B0C_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
mu shan cha ye gu dao,木柵茶葉古道, 5,['Open daily'],['Open all day'],"Wenshan District, Taipei 116 Taiwan",0.0,,"I love to take the ancient road of the tea industry, in the mountains and forests where the birds and tea are fragrant, taste the free glycol of Tieguanyin, rest quietly, and release all the pressure. This is Taipei City, but far from the hustle and bustle of the mountains and forests, and there is free Tieguanyin Fengcha to enjoy ^_^",https://www.trip.com/travel-guide/attraction/taipei/city-39040234?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103412000cf6or66D9DD_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Tamsui River Mangrove Nature Reserve,紅樹林自然保留區,,['Open daily'],['Open all day'],"251, Taiwan, New Taipei City, Tamsui District",0.0,,"Freshwater Mangrove Nature Reserve - From bamboo fence to dragonfly, the area of 76 hectares of pen pen pure forest, for the most northerly distribution of pen pens in the world the largest area. Mangrove plants are named for their red bark and wood, and grow mainly in tropical and subtropical estuaries and seasides. Water pens with solid soil moisture and land security functions grow in wetlands in the estuary area, and wetland creatures such as tide crabs and scallop fish are bred in intertidal zones, and they are also national bird sanctuaries.",https://www.trip.com/travel-guide/attraction/new-taipei-city/tamsui-river-mangrove-nature-reserve-13480477?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106c120008g2mudy1F6F_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0
