basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Customs Museum,海關博物館, 4.5/5,['Monday-Friday:'],['9:00-17:00'],N/A,N/A,N/A,"No. 13, Tacheng St., Datong Dist, Taipei",Free,,"Customs Museum is a custom museum, where you can learn about some local folk culture, you can visit if you are interested in humanities, the place is not big, half an hour-45 minutes can be visited.",https://www.trip.com/travel-guide/attraction/taipei/customs-museum-22846547?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105c120005w8b35yC03B_C_180_240_Q70.webp?proc=source%2ftrip
Maokong Sightseeing Tea Garden,貓空觀光茶園, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"Wenshan District, Taipei City, Taiwan 116",Free,,"Mao Kong is a famous attraction in Taipei. The content is quite rich. You can take the cable car, watch the night view, walk on the top of the mountain, taste food and so on. Sitting on the cable car, you can see the green on the mountain. On the top of the mountain, several walking walks were repaired. I walked a short walk and there was a large tea garden on the side of the road. Near the cable car station, there are also some restaurants and snacks featuring tea, which are worth a try.",https://www.trip.com/travel-guide/attraction/taipei/maokong-sightseeing-tea-garden-24651612?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0i1e000001evdvq8A50_C_180_240_Q70.webp?proc=source%2ftrip
Shifen Waterfall,十分瀑布, 4.5/5,['Open daily'],['9:00-16:30'],N/A,N/A,1-2 hours,"226, Taiwan, New Taipei City, Pingxi District, No. 10 Gankeng",Free,,Spectacular! Must not miss this nature treasure!! A small 10min walk from the tourist centre with food and souvenir vendors and two suspension bridges to brighten it up!,https://www.trip.com/travel-guide/attraction/new-taipei-city/shifen-waterfall-20905999?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100c0l000000cvq455975_C_180_240_Q70.webp?proc=source%2ftrip
East Gate,東門, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,0.5-1 hour,"No.2, Sec.1, Yanping N. Rd., Datong Dist. (opposite Presidential Office Building), Taipei, Taiwan",Free,,"New tourist spot near Dongmen Yongkang Street: Jinjin Time? The original site is the Taipei Criminal Office and Taipei Prison during the Japanese rule period. It is now converted into a leisure and cultural park. The walking line is comfortable. It is entered from the intersection of Jinshan South Road. The storefront and walking area can be scattered into the store under many people. The parking of steam locomotives on the roadside of Jinhua Street does not affect the safety of pedestrians. Bringing the elderly and children can rest assured that coffee and bakeries are mostly Taiwanese brands. There are also reservation-made kimonos, food and izakayas, and there are plenty of choices. There is a park next to the square, you can eat or picnic and eat a variety of food: [Haoqiu] Cafe + Beiguo ✨ Park picnic preferred [Old Elegance] Reservation of coffee, exclusive wooden window seat [Bureau House] Reservation of Japanese izakaya + Fried dumplings 🍺 Park highlights: 🌟 Gender-friendly toilets 🌟 barrier-free ramps, barrier-free toilets, elevators 🌟 Parent-child parks, breastfeeding room service centers have a brief introduction to the post-war history. In addition to the original site introduction such as the prison building profile, they have also joined the interview opinions of local residents. The exhibition space is bright, the design is friendly and read, and the evolution of the ancient pavilion and koi brought to the postwar village from the shallow text and maps can be absorbed by all ages. It is a pity that the dynamic line of the exhibition may be less smooth when there are many people. The sum is above a leisure space suitable for taking the whole family out, with its perfect plan 🫶",https://www.trip.com/travel-guide/attraction/taipei/east-gate-24653023?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0m000000doudr8559_C_180_240_Q70.webp?proc=source%2ftrip
Xixinan Village,西西南村, 5/5,"['Monday-Thursday,Sunday:', 'Friday-Saturday:']","['11:00-20:00', '11:00-21:00']",N/A,N/A,1-2 hours,"No. 54 Songqin Street No. 54 Songqin Street Xinyi District, Taipei 110 Taiwan",Free,,The harmony between the small old building on the other side of the Taipei 101 building in Xixinan Village and the latest building is surprisingly suitable.,https://www.trip.com/travel-guide/attraction/taipei/xixinan-village-39039850?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105112000brbgi326FCA_C_180_240_Q70.webp?proc=source%2ftrip
Zhishan Garden,至善園, 4.6/5,['Tuesday-Sunday:'],['8:00-17:00'],N/A,N/A,1-2 hours,"Chih-shan Road, Sec. 2; Shih-lin District, Taipei, Taiwan",Free,,"This year's climate has changed greatly due to temperature differences, and the scenery of red leaves 🍁 and white plums coexist in the Yuanshan Garden at the same time, making the overall garden experience more colorful. part 2",https://www.trip.com/travel-guide/attraction/taipei/zhishan-garden-94700?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100m12000000s8f6lEBC1_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Children's Recreation Center,台北市立兒童育樂中心, 4.6/5,['N/A'],['N/A'],N/A,N/A,1 hour,"Datong District, Taipei City, Taiwan 103",Free,,"It is equivalent to an amusement park, of course, it cannot be compared with Disney, but it is definitely much more fun than the general city park, and the charges are relatively low, even if we adults have a great time.",https://www.trip.com/travel-guide/attraction/taipei/taipei-children-s-recreation-center-13425754?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100l15000000y9t5t18EB_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Yukids Island,台北遊戲愛樂園,N/A,"['Monday-Thursday,Sunday:', 'Friday-Saturday:']","['11:00-21:30 (Latest entry time:20:30)', '11:00-22:00 (Latest entry time:21:00)']",N/A,N/A,N/A,台灣台北市信義區松高路12號5樓,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/taipei-yukids-island-146191333?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C_C_180_240_Q70.webp?proc=source%2ftrip
White Sand Bay,白沙灣, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"No.33-6 Xiayuankeng, Demao Li, Shimen District, New Taipei 25341, Taiwan",Free,,"Baishawan Beach Self-driving or chartered car to the North Coast is not far from the scenic spots to take the bus reference: fresh water passenger transport from fresh water to Jinshan; Or take the Taiqi passenger transport Zhongxing to Keelung, all get off at Baishawan Station. Baishawan is a bay between the two seagulls of Lushan Nose and Fuguijiao. The beach is wide, the sand is thick and round and white, and the beach stretches for one kilometer. The white water of the long sand is famous for swimming, holiday sailing and other water.",https://www.trip.com/travel-guide/attraction/new-taipei-city/white-sand-bay-33012973?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100j11000000qucjzB65A_C_180_240_Q70.webp?proc=source%2ftrip
Jimmy Park,幾米公園, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"No. 240號, Section 1, Yixing Rd, Yilan City, Yilan County, Taiwan 260",Free,,Near by spot next to Yilan Station ! there’s a nice dumpling shop next to the parks,https://www.trip.com/travel-guide/attraction/yilan/jimmy-park-13484765?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0f1900000181g1u814E_C_180_240_Q70.webp?proc=source%2ftrip
